Nr,Uczestnik,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,Katarzyna Popowa-Zdroń,John Rink,Wojciech Świtała,Średnia
3,Tomoharu Ushida,20.0,19.0,24.0,25.0,22.0,19.0,21.0,21.0,24.0,22.0,21.0,22.0,,22.0,20.0,18.0,19.0,21.08
5,Zitong Wang,22.0,22.0,23.0,21.0,22.0,,21.0,17.0,16.0,24.0,19.0,23.0,18.0,24.0,18.0,21.0,18.0,20.69
11,Yifan Wu,21.0,19.0,21.0,24.0,21.0,17.0,23.0,22.0,18.0,20.0,23.0,20.0,19.0,18.0,18.0,20.0,22.0,20.32
12,Miki Yamagata,19.0,18.0,21.0,24.0,20.0,17.0,22.0,21.0,17.0,22.0,23.0,21.0,18.0,16.0,21.0,21.0,23.0,20.35
15,William Yang,21.0,16.0,20.0,23.0,24.0,24.0,24.0,16.0,22.0,24.0,22.0,,21.0,25.0,24.0,25.0,21.0,22.38
20,Jacky Zhang,19.0,19.0,20.0,21.0,20.0,19.0,18.0,18.0,16.0,18.0,18.0,19.0,23.0,19.0,17.0,18.0,19.0,18.80
24,Piotr Alexewicz,19.0,23.0,22.0,22.0,22.0,19.0,23.0,23.0,17.0,17.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.08
25,Jonas Aumiller,19.0,20.0,21.0,20.0,21.0,22.0,23.0,22.0,18.0,17.0,21.0,20.0,19.0,19.0,16.0,20.0,18.0,19.81
26,Yanyan Bao,18.0,18.0,21.0,19.0,23.0,17.0,18.0,18.0,17.0,19.0,16.0,19.0,22.0,17.0,19.0,20.0,22.0,18.82
28,Kai-Min Chang,21.0,20.0,20.0,21.0,23.0,,18.0,22.0,19.0,21.0,20.0,20.0,18.0,24.0,20.0,22.0,20.0,20.52
29,Kevin Chen,20.0,22.0,23.0,24.0,24.0,19.0,23.0,23.0,24.0,24.0,23.0,22.0,22.0,20.0,19.0,22.0,24.0,22.41
30,Xuehong Chen,18.0,19.0,21.0,20.0,21.0,19.0,23.0,19.0,19.0,20.0,17.0,22.0,22.0,17.0,22.0,18.0,21.0,19.90
31,Zixi Chen,22.0,16.0,21.0,21.0,21.0,17.0,18.0,22.0,19.0,21.0,22.0,21.0,17.0,16.0,18.0,17.0,18.0,19.29
35,Yubo Deng,17.0,15.0,20.0,19.0,22.0,,23.0,22.0,18.0,17.0,19.0,19.0,21.0,21.0,20.0,16.0,16.0,19.09
39,Yang (Jack) Gao,25.0,17.0,20.0,21.0,24.0,18.0,23.0,24.0,17.0,20.0,23.0,23.0,16.0,24.0,20.0,24.0,18.0,21.18
41,Eric Guo,18.0,19.0,22.0,24.0,21.0,18.0,18.0,22.0,20.0,20.0,24.0,21.0,20.0,21.0,18.0,22.0,19.0,20.32
43,Xiaoyu Hu,20.0,20.0,22.0,18.0,21.0,18.0,17.0,17.0,17.0,20.0,18.0,20.0,20.0,22.0,18.0,17.0,17.0,18.81
45,Zihan Jin,21.0,22.0,20.0,18.0,20.0,20.0,17.0,21.0,21.0,22.0,16.0,21.0,16.0,18.0,16.0,18.0,17.0,19.14
46,Adam Kałduński,21.0,16.0,22.0,21.0,20.0,18.0,20.0,20.0,17.0,18.0,20.0,21.0,21.0,18.0,,22.0,19.0,19.72
47,David Khrikuli,17.0,24.0,23.0,24.0,23.0,22.0,23.0,24.0,19.0,23.0,23.0,18.0,19.0,12.0,19.0,24.0,20.0,21.35
51,Shiori Kuwahara,21.0,20.0,22.0,24.0,23.0,19.0,23.0,22.0,19.0,18.0,23.0,16.0,22.0,24.0,22.0,21.0,20.0,21.28
53,Hyo Lee,22.0,22.0,22.0,20.0,20.0,21.0,23.0,20.0,20.0,20.0,20.0,20.0,23.0,,19.0,19.0,22.0,20.79
54,Hyuk Lee,17.0,20.0,20.0,25.0,20.0,20.0,22.0,20.0,21.0,21.0,19.0,24.0,22.0,,21.0,21.0,21.0,20.79
55,Kwanwook Lee,21.0,17.0,20.0,20.0,22.0,21.0,20.0,18.0,18.0,21.0,17.0,18.0,18.0,17.0,18.0,17.0,17.0,18.72
57,Tianyou Li,23.0,20.0,23.0,21.0,24.0,18.0,23.0,23.0,24.0,23.0,19.0,22.0,19.0,22.0,20.0,23.0,22.0,21.86
58,Xiaoxuan Li,22.0,18.0,21.0,23.0,20.0,18.0,21.0,20.0,16.0,23.0,18.0,,22.0,23.0,19.0,19.0,21.0,20.30
59,Zhexiang Li,19.0,22.0,23.0,21.0,21.0,22.0,23.0,17.0,17.0,19.0,17.0,17.0,19.0,16.0,17.0,19.0,18.0,19.08
62,Eric Lu,24.0,23.0,21.0,24.0,22.0,,24.0,25.0,18.0,22.0,24.0,,22.0,25.0,22.0,25.0,22.0,23.03
63,Philipp Lynov,19.0,22.0,22.0,18.0,21.0,18.0,17.0,20.0,18.0,17.0,24.0,17.0,18.0,17.0,17.0,20.0,18.0,18.71
64,Tianyao Lyu,19.0,17.0,20.0,24.0,21.0,20.0,22.0,21.0,18.0,21.0,20.0,20.0,25.0,24.0,,20.0,22.0,20.78
67,Ruben Micieli,23.0,17.0,23.0,21.0,21.0,18.0,17.0,21.0,19.0,19.0,21.0,17.0,20.0,15.0,16.0,20.0,17.0,19.12
68,Nathalia Milstein,21.0,21.0,20.0,22.0,20.0,17.0,20.0,21.0,16.0,21.0,19.0,20.0,17.0,15.0,16.0,21.0,17.0,19.26
69,Yumeka Nakagawa,17.0,21.0,20.0,23.0,21.0,23.0,24.0,21.0,17.0,22.0,20.0,20.0,19.0,19.0,15.0,19.0,18.0,19.98
73,Vincent Ong,17.0,16.0,20.0,19.0,23.0,24.0,23.0,24.0,18.0,21.0,25.0,21.0,20.0,24.0,21.0,23.0,20.0,21.23
75,Piotr Pawlak,25.0,23.0,22.0,21.0,19.0,19.0,22.0,21.0,17.0,21.0,19.0,19.0,21.0,16.0,20.0,24.0,21.0,20.59
76,Yehuda Prokopowicz,23.0,22.0,23.0,22.0,21.0,17.0,18.0,22.0,16.0,22.0,19.0,21.0,21.0,20.0,19.0,19.0,19.0,20.36
77,Hao Rao,16.0,18.0,22.0,20.0,21.0,17.0,17.0,24.0,17.0,19.0,17.0,22.0,22.0,21.0,18.0,18.0,19.0,19.15
78,Anthony Ratinov,22.0,17.0,21.0,20.0,21.0,18.0,21.0,17.0,19.0,21.0,22.0,,19.0,21.0,20.0,20.0,21.0,20.13
81,Miyu Shindo,17.0,20.0,20.0,23.0,22.0,20.0,19.0,18.0,18.0,21.0,22.0,19.0,23.0,23.0,22.0,22.0,23.0,20.82
83,Gabriele Strata,16.0,22.0,22.0,18.0,22.0,23.0,24.0,25.0,17.0,17.0,22.0,21.0,21.0,17.0,17.0,22.0,21.0,20.63